"country","talent"
"United States of America",100.0
"India",45.27
"United Kingdom",39.65
"Singapore",39.38
"Israel",35.76
"The Netherlands",33.83
"Canada",31.28
"Ireland",29.93
"France",28.32
"Sweden",28.21
"Germany",27.63
"Norway",27.61
"Denmark",27.07
"Switzerland",25.63
"Australia",25.43
"Finland",24.99
"New Zealand",23.3
"Luxembourg",21.66
"Estonia",18.74
"Iceland",18.45
"Spain",17.61
"Hong Kong",17.56
"Austria",16.97
"China",16.51
"Malta",15.87
"Japan",15.18
"Belgium",15.17
"South Korea",14.54
"Lithuania",14.3
"Poland",14.21
"Brazil",13.46
"Portugal",13.43
"Slovenia",13.02
"Russia",12.46
"Czech Republic",11.11
"Italy",11.09
"Chile",10.56
"Malaysia",10.44
"Hungary",10.34
"Tunisia",8.94
"Slovakia",8.55
"Turkey",8.49
"Argentina",8.4
"Pakistan",8.0
"Greece",7.62
"Uruguay",7.28
"Armenia",6.69
"Vietnam",6.34
"Sri Lanka",6.27
"Indonesia",5.51
"Bahrain",4.99
"Colombia",4.97
"South Africa",4.61
"Saudi Arabia",4.49
"Morocco",3.36
"Nigeria",2.74
"United Arab Emirates",2.65
"Mexico",1.72
"Egypt",1.11
"Kenya",0.75
"Qatar",0.0
