"country","talent","population"
"United States of America",100.0,338289857
"India",45.27,1417173173
"United Kingdom",39.65,67508936
"Singapore",39.38,5975689
"Israel",35.76,9038309
"The Netherlands",33.83,17564014
"Canada",31.28,38454327
"Ireland",29.93,5023109
"France",28.32,64626628
"Sweden",28.21,10549347
"Germany",27.63,83369843
"Norway",27.61,5434319
"Denmark",27.07,5882261
"Switzerland",25.63,8740472
"Australia",25.43,26177413
"Finland",24.99,5540745
"New Zealand",23.3,5185288
"Luxembourg",21.66,647599
"Estonia",18.74,1326062
"Iceland",18.45,372899
